peptideId	arabi-defline
NO07G01330	synaptobrevin-related protein 1
NO07G01340	protein binding;zinc ion binding
NO07G01370	CONTAINS InterPro DOMAIN/s: UPF0103/Mediator of ErbB2-driven cell motility (Memo), related (InterPro:IPR002737); Has 1074 Blast hits to 1072 proteins in 474 species: Archae - 213; Bacteria - 366; Metazoa - 159; Fungi - 135; Plants - 54; Viruses - 0; Other Eukaryotes - 147 (source: NCBI BLink).
NO07G01410	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF339 (InterPro:IPR005631); Has 532 Blast hits to 532 proteins in 207 species: Archae - 0; Bacteria - 285; Metazoa - 16; Fungi - 41; Plants - 40; Viruses - 0; Other Eukaryotes - 150 (source: NCBI BLink).
NO07G01430	Phosphatidic acid phosphatase (PAP2) family protein
NO07G01470	unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 118 Blast hits to 118 proteins in 41 species: Archae - 0; Bacteria - 42; Metazoa - 0; Fungi - 0; Plants - 56; Viruses - 0; Other Eukaryotes - 20 (source: NCBI BLink).
NO07G01480	plastidic GLC translocator
NO07G01490	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: ribosome biogenesis; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: AARP2CN (InterPro:IPR012948), Protein of unknown function DUF663 (InterPro:IPR007034); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT1G06720.1); Has 2741 Blast hits to 2088 proteins in 291 species: Archae - 2; Bacteria - 131; Metazoa - 833; Fungi - 650; Plants - 171; Viruses - 49; Other Eukaryotes - 905 (source: NCBI BLink).
NO07G01500	diacylglycerol acyltransferase family
NO07G01510	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO07G01520	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
NO07G01540	Ergosterol biosynthesis ERG4/ERG24 family
NO07G01550	ferrochelatase 2
NO07G01560	AICARFT/IMPCHase bienzyme family protein
NO07G01570	Ribosomal protein L1p/L10e family
NO07G01580	Pleckstrin homology (PH) domain superfamily protein
NO07G01590	RING/U-box superfamily protein
NO07G01600	G10 family protein
NO07G01610	DNA polymerase V family
NO07G01620	ABC transporter family protein
NO07G01630	VPS54
NO07G01640	glycyl-tRNA synthetase / glycine--tRNA ligase
NO07G01650	thioredoxin Y1
NO07G01660	DC1 domain-containing protein
NO07G01710	5'-3' exonuclease family protein
NO07G01720	sulfoquinovosyldiacylglycerol 2
NO07G01740	Ribosomal RNA adenine dimethylase family protein
NO07G01750	5'-3' exoribonuclease 3
NO07G01760	diacylglycerol acyltransferase family
NO07G01770	cyclin-dependent kinase C;1
NO07G01800	DIRP ;Myb-like DNA-binding domain
NO07G01810	NAD(H) kinase 3
NO07G01830	protein arginine methyltransferase 1A
NO07G01840	methylenetetrahydrofolate reductase 1
NO07G01850	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
NO07G01870	high mobility group B1
NO07G01890	nuclear transport factor 2A
NO07G01910	aspartate aminotransferase 1
NO07G01920	Protein of unknown function, DUF647
NO07G01930	Ssu72-like family protein
NO07G01940	nudix hydrolase homolog 13
NO07G01950	tubby like protein 3
NO07G01990	FTSH protease 6
NO07G02000	casein kinase II  beta chain 1
NO07G02010	adenosylmethionine-8-amino-7-oxononanoate transaminases
NO07G02030	histone methyltransferases(H3-K4 specific);histone methyltransferases(H3-K36 specific)
NO07G02040	Y-family DNA polymerase H
NO07G02060	pleiotropic drug resistance 1
NO07G02070	protein arginine methyltransferase 7
NO07G02080	genomes uncoupled 1
NO07G02090	SEC7-like guanine nucleotide exchange family protein
NO07G02100	Pleckstrin homology (PH) and lipid-binding START domains-containing protein
NO07G02110	UDP-Glycosyltransferase superfamily protein
NO07G02140	E2F/DP family winged-helix DNA-binding domain
NO07G02150	endoplasmic reticulum oxidoreductins 1
NO07G02160	dicer-like 3
NO07G02170	Aldolase superfamily protein
NO07G02180	aldehyde oxidase 1
NO07G02210	Glutathione S-transferase, C-terminal-like;Translation elongation  factor EF1B/ribosomal protein S6
NO07G02220	Ribosomal protein S5 domain 2-like superfamily protein
NO07G02230	phosphate transporter 3;1
NO07G02260	syntaxin of plants 81
NO07G02270	stress-inducible protein, putative
NO07G02280	ASF1 like histone chaperone
NO07G02290	polyribonucleotide nucleotidyltransferase, putative
NO07G02300	methionine sulfoxide reductase B5
NO07G02310	end binding protein 1C
NO07G02320	EPS15 homology domain 1
NO07G02340	nudix hydrolase homolog 9
NO07G02350	Transducin/WD40 repeat-like superfamily protein
NO07G02410	Transducin/WD40 repeat-like superfamily protein
NO07G02420	FMN-linked oxidoreductases superfamily protein
NO07G02430	small nuclear ribonucleoprotein associated protein B
NO07G02440	ornithine-delta-aminotransferase
NO07G02450	Methyltransferase MT-A70 family protein
NO07G02500	Histidyl-tRNA synthetase 1
NO07G02510	FAD-dependent oxidoreductase family protein
NO07G02520	zinc finger (C2H2 type) family protein
NO07G02550	CCAAT-binding factor
NO07G02560	Sec14p-like phosphatidylinositol transfer family protein
NO07G02580	actin 9
NO07G02600	E2F transcription factor 3
NO07G02610	Peptidase S41 family protein
NO07G02620	binding
NO07G02630	binding
NO07G02640	FUS3-complementing gene 2
NO07G02660	Nucleotide-sugar transporter family protein
NO07G02670	Terpenoid synthases superfamily protein
NO07G02680	Protein kinase superfamily protein
NO07G02690	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G14910.1); Has 537 Blast hits to 411 proteins in 100 species: Archae - 0; Bacteria - 231; Metazoa - 0; Fungi - 0; Plants - 94; Viruses - 0; Other Eukaryotes - 212 (source: NCBI BLink).
NO07G02700	general control non-repressible 5
NO07G02730	frataxin homolog
NO07G02750	rRNA processing protein-related
NO07G02760	catalytics;transferases;[acyl-carrier-protein] S-malonyltransferases;binding
NO07G02770	uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)
NO07G02790	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1242 (InterPro:IPR009653); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).
NO07G02800	Ankyrin repeat family protein
NO07G02810	LETM1-like protein
NO07G02850	TBP-associated factor 15B
NO07G02880	Tetrapyrrole (Corrin/Porphyrin) Methylases
NO07G02900	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1
NO07G02930	ABC-2 type transporter family protein
NO07G02960	Tetrapyrrole (Corrin/Porphyrin) Methylases
NO07G02970	Nucleic acid-binding, OB-fold-like protein
NO07G02980	unknown protein; Has 640 Blast hits to 638 proteins in 201 species: Archae - 0; Bacteria - 293; Metazoa - 0; Fungi - 71; Plants - 72; Viruses - 0; Other Eukaryotes - 204 (source: NCBI BLink).
NO07G03020	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO07G03030	AFG1-like ATPase family protein
NO07G03040	zeaxanthin epoxidase (ZEP) (ABA1)
NO07G03050	dolichol phosphate-mannose biosynthesis regulatory protein-related
NO07G03060	tetratricopetide-repeat thioredoxin-like 4
NO07G03080	photosystem I light harvesting complex gene 2
NO07G03100	Transducin/WD40 repeat-like superfamily protein
NO07G03110	RHOMBOID-like protein 15
NO07G03120	Tetratricopeptide repeat (TPR)-like superfamily protein
NO07G03130	eukaryotic translation initiation factor 2 gamma subunit
NO07G03150	cytidinediphosphate diacylglycerol synthase 2
NO07G03170	ARABIDOPSIS SERIN PROTEASE
NO07G03190	protein kinase C substrate, heavy chain-related
NO07G03200	pfkB-like carbohydrate kinase family protein
NO07G03210	nodulin MtN21 /EamA-like transporter family protein
NO07G03230	glutamine synthetase 2
NO07G03240	chloroplastic NIFS-like cysteine desulfurase
NO07G03290	pseudouridine synthase family protein
NO07G03310	photosystem I light harvesting complex gene 5
NO07G03320	alpha-mannosidase 3
NO07G03330	phosphoenolpyruvate carboxykinase 1
NO07G03360	peptidyl-prolyl cis-trans isomerase / cyclophilin-40 (CYP40) / rotamase
NO07G03380	uracil dna glycosylase
NO07G03440	histone deacetylase 14
NO07G03450	N-acetylglucosamine-1-phosphate uridylyltransferase 2
NO07G03460	Protein phosphatase 2C family protein
NO07G03470	RNA recognition motif (RRM)-containing protein
NO07G03480	polyubiquitin 10
NO07G03490	unknown protein; Has 52 Blast hits to 46 proteins in 20 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).
NO07G03540	coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein
NO07G03560	topoisomerase 3alpha
NO07G03570	methylcrotonyl-CoA carboxylase alpha chain, mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA)
NO07G03580	transporter associated with antigen processing protein 2
NO07G03590	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NO07G03610	Endomembrane protein 70 protein family
NO07G03620	Insulinase (Peptidase family M16) family protein
NO07G03630	zinc ion binding;DNA binding;helicases;ATP binding;nucleic acid binding
NO07G03640	O-acetylserine (thiol) lyase isoform C
NO07G03700	ABC-2 type transporter family protein
NO07G03710	RAB GTPase homolog 8A
NO07G03720	cellulose synthase-like D5
NO07G03730	lon protease 1
NO07G03740	RNA helicase, ATP-dependent, SK12/DOB1 protein
NO07G03760	Lactoylglutathione lyase / glyoxalase I family protein
NO07G03770	Polyketide cyclase / dehydrase and lipid transport protein
NO07G03800	non-ATPase subunit 9
NO07G03820	alanine aminotransferas
NO07G03840	C-8,7 sterol isomerase
NO07G03860	Uncharacterised protein family (UPF0041)
NO07G03880	histone deacetylase 14
NO07G03970	mitochondrial 28S ribosomal protein S29-related
NO07G03990	Protein of unknown function (DUF1682)
NO07G04020	transducin family protein / WD-40 repeat family protein
NO07G04060	Got1/Sft2-like vescicle transport protein family
NO07G04070	LisH and RanBPM domains containing protein
NO07G04090	glycoside hydrolase family 2 protein
NO07G04110	Glycosyl hydrolase superfamily protein
NO07G04120	Rab5-interacting family protein
NO07G04200	HD domain-containing metal-dependent phosphohydrolase family protein
NO07G04210	FMN-linked oxidoreductases superfamily protein
NO07G04450	Radical SAM superfamily protein
NO07G04460	Radical SAM superfamily protein
NO07G04470	SNARE-like superfamily protein
NO07G04510	Serine/threonine-protein kinase Rio1
NO07G04540	homolog of yeast ADA2 2A
NO07G04550	homolog of yeast ADA2 2B
NO07G04560	Coatomer epsilon subunit
NO07G04570	DNA binding;DNA-directed RNA polymerases
NO07G04580	two-pore  channel 1
NO07G04590	NDR1/HIN1-like 8
NO07G04600	Polyketide cyclase / dehydrase and lipid transport protein
NO07G04610	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3493 (InterPro:IPR021883); BEST Arabidopsis thaliana protein match is: tetratricopeptide repeat (TPR)-containing protein (TAIR:AT1G02910.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO07G04620	Cyclin B2;1
NO07G04640	SNF1-related protein kinase 2.7
NO07G04660	Major facilitator superfamily protein
NO08G00020	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: RNA processing; LOCATED IN: intracellular; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: RNA-processing protein, HAT helix (InterPro:IPR003107), U3 small nucleolar RNA-associated protein 6 (InterPro:IPR013949); Has 492 Blast hits to 480 proteins in 206 species: Archae - 0; Bacteria - 2; Metazoa - 128; Fungi - 191; Plants - 60; Viruses - 0; Other Eukaryotes - 111 (source: NCBI BLink).
NO08G00030	pfkB-like carbohydrate kinase family protein
NO08G00080	MAP kinase kinase 2
NO08G00090	MAP kinase kinase 2
NO08G00120	cullin 1
NO08G00130	Signal transduction histidine kinase, hybrid-type, ethylene sensor
NO08G00140	coenzyme Q 3
NO08G00170	protein phosphatase 2A-4
NO08G00180	INVOLVED IN: RNA splicing; LOCATED IN: spliceosomal complex; CONTAINS InterPro DOMAIN/s: Prp18 (InterPro:IPR004098); BEST Arabidopsis thaliana protein match is: splicing factor Prp18 family protein (TAIR:AT1G03140.1); Has 388 Blast hits to 388 proteins in 196 species: Archae - 0; Bacteria - 0; Metazoa - 136; Fungi - 132; Plants - 48; Viruses - 0; Other Eukaryotes - 72 (source: NCBI BLink).
NO08G00190	Glycosyl hydrolase family 38 protein
NO08G00210	ascorbate peroxidase 6
NO08G00220	homology to ABI2
NO08G00230	Protein kinase superfamily protein
NO08G00240	Major facilitator superfamily protein
NO08G00250	Ribosomal protein L31e family protein
NO08G00260	ubiquitin family protein
NO08G00270	Flavin containing amine oxidoreductase family
NO08G00280	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO08G00290	MOS4-associated  complex 3A
NO08G00310	DNA polymerase lambda (POLL)
NO08G00320	anaphase-promoting complex subunit 8
NO08G00350	Pentatricopeptide repeat (PPR) superfamily protein
NO08G00360	natural resistance-associated macrophage protein 1
NO08G00420	cell division cycle 48
NO08G00440	Methylenetetrahydrofolate reductase family protein
NO08G00460	poly(A) polymerase 1
NO08G00470	eukaryotic translation initiation factor 2 beta subunit
NO08G00480	RNA polymerases N / 8 kDa subunit
NO08G00500	Thioredoxin family protein
NO08G00510	glutathione S-transferase 6
NO08G00520	endonuclease V family protein
NO08G00540	Auxin efflux carrier family protein
NO08G00550	DNAse I-like superfamily protein
NO08G00580	proteasome subunit PAB1
NO08G00590	FTSH protease 1
NO08G00600	protein-serine kinase 1
NO08G00620	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO08G00630	methionine aminopeptidase 1D
NO08G00670	S-adenosylmethionine synthetase family protein
NO08G00680	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G19990.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO08G00690	unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G54680.3); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO08G00700	AAA-type ATPase family protein
NO08G00730	heat shock protein 70 (Hsp 70) family protein
NO08G00740	31-kDa RNA binding protein
NO08G00750	mercaptopyruvate sulfurtransferase 1
NO08G00770	vacuolar protein sorting 34
NO08G00780	vacuolar protein sorting 34
NO08G00790	Homeodomain-like superfamily protein
NO08G00800	RNA-binding (RRM/RBD/RNP motifs) family protein
NO08G00810	FMN-linked oxidoreductases superfamily protein
NO08G00820	plant intracellular ras group-related LRR 9
NO08G00830	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO08G00870	cell division cycle protein 48-related / CDC48-related
NO08G00890	minichromosome maintenance 8
NO08G00940	hydrolase family protein / HAD-superfamily protein
NO08G00970	Protein kinase superfamily protein
NO08G00990	Saposin-like aspartyl protease family protein
NO08G01010	zinc finger (C2H2 type) family protein
NO08G01020	SAD1/UNC-84 domain protein 2
NO08G01130	Alg9-like mannosyltransferase family
NO08G01140	heat shock protein 17.4
NO08G01180	C-terminal domain phosphatase-like 4
NO08G01190	calmodulin-binding protein
NO08G01210	HIS HF
NO08G01230	HCO3- transporter family
NO08G01240	alpha/beta-Hydrolases superfamily protein
